count;date
70615;16/11/2014
96466;17/11/2014
103004;18/11/2014
101093;19/11/2014
100739;20/11/2014
94010;21/11/2014
65827;22/11/2014
66269;23/11/2014
96094;24/11/2014
100373;25/11/2014
100566;26/11/2014
88558;27/11/2014
76759;28/11/2014
57751;29/11/2014
62008;30/11/2014
93103;1/12/2014
102102;2/12/2014
101770;3/12/2014
99399;4/12/2014
99252;5/12/2014
65185;6/12/2014
68379;7/12/2014
101279;8/12/2014
104940;9/12/2014
102111;10/12/2014
102601;11/12/2014
94270;12/12/2014
59533;13/12/2014
61406;14/12/2014
97281;15/12/2014
102252;16/12/2014
97069;17/12/2014
94222;18/12/2014
85777;19/12/2014
56699;20/12/2014
54589;21/12/2014
79792;22/12/2014
79485;23/12/2014
55844;24/12/2014
40654;25/12/2014
52248;26/12/2014
50301;27/12/2014
53414;28/12/2014
71663;29/12/2014
73747;30/12/2014
61099;31/12/2014
47264;1/1/2015
71925;2/1/2015
61794;3/1/2015
64149;4/1/2015
89582;5/1/2015
94562;6/1/2015
95188;7/1/2015
98665;8/1/2015
92408;9/1/2015
63086;10/1/2015
68308;11/1/2015
98676;12/1/2015
101093;13/1/2015
104272;14/1/2015
103182;15/1/2015
98209;16/1/2015
66663;17/1/2015
68130;18/1/2015
95220;19/1/2015
102730;20/1/2015
103014;21/1/2015
103144;22/1/2015
100271;23/1/2015
74134;24/1/2015
78380;25/1/2015
100055;26/1/2015
106024;27/1/2015
108484;28/1/2015
104039;29/1/2015
99195;30/1/2015
70747;31/1/2015
70641;1/2/2015
107878;2/2/2015
107305;3/2/2015
107980;4/2/2015
109498;5/2/2015
102811;6/2/2015
71076;7/2/2015
77347;8/2/2015
107600;9/2/2015
110327;10/2/2015
111219;11/2/2015
110566;12/2/2015
104691;13/2/2015
65222;14/2/2015
70030;15/2/2015
101937;16/2/2015
112912;17/2/2015
110264;18/2/2015
109944;19/2/2015
104310;20/2/2015
74925;21/2/2015
80658;22/2/2015
111786;23/2/2015
116952;24/2/2015
118722;25/2/2015
117839;26/2/2015
108908;27/2/2015
76183;28/2/2015
80211;1/3/2015
115921;2/3/2015
120368;3/3/2015
178013;4/3/2015
118335;5/3/2015
124798;6/3/2015
77339;7/3/2015
80782;8/3/2015
112506;9/3/2015
117038;10/3/2015
120376;11/3/2015
118665;12/3/2015
111137;13/3/2015
74907;14/3/2015
80059;15/3/2015
116407;16/3/2015
120850;17/3/2015
118528;18/3/2015
117123;19/3/2015
111794;20/3/2015
72092;21/3/2015
78135;22/3/2015
115613;23/3/2015
118772;24/3/2015
125637;25/3/2015
117498;26/3/2015
109508;27/3/2015
73221;28/3/2015
75761;29/3/2015
112139;30/3/2015
117865;31/3/2015
114263;1/4/2015
110015;2/4/2015
100685;3/4/2015
70337;4/4/2015
68566;5/4/2015
94064;6/4/2015
115356;7/4/2015
153693;8/4/2015
121250;9/4/2015
108822;10/4/2015
76253;11/4/2015
76240;12/4/2015
109647;13/4/2015
118578;14/4/2015
114742;15/4/2015
114662;16/4/2015
109328;17/4/2015
73731;18/4/2015
81314;19/4/2015
117050;20/4/2015
116880;21/4/2015
119093;22/4/2015
115869;23/4/2015
108647;24/4/2015
69694;25/4/2015
76369;26/4/2015
112609;27/4/2015
122499;28/4/2015
119856;29/4/2015
204308;30/4/2015
101262;1/5/2015
71474;2/5/2015
73827;3/5/2015
111376;4/5/2015
117926;5/5/2015
123489;6/5/2015
117176;7/5/2015
108342;8/5/2015
71920;9/5/2015
74165;10/5/2015
114566;11/5/2015
122333;12/5/2015
121238;13/5/2015
111754;14/5/2015
111743;15/5/2015
71098;16/5/2015
73362;17/5/2015
112177;18/5/2015
